id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7316778575,spokane / coeur d'alene,451,2017.0,toyota,highlander se,,,gas,42962.0,clean,automatic,5TDJZRFH6HS434931,4wd,,SUV,,id
7316123657,erie,11995,2012.0,infiniti,g37,,,gas,153820.0,clean,automatic,JN1CV6AR1CM682319,4wd,,sedan,blue,pa
7316434552,minneapolis / st paul,8995,2013.0,chevrolet,equinox,,,gas,81885.0,clean,automatic,,,,,,mn
7315262452,raleigh / durham / CH,15994,2011.0,ram,1500 4x4,good,8 cylinders,gas,71603.0,clean,automatic,,4wd,,pickup,white,nc
7311054526,ocala,23850,2017.0,ford,f-150,,,gas,126451.0,clean,automatic,1FTEW1CF2HKE25293,fwd,,pickup,white,fl
7311975994,treasure coast,4500,2013.0,kia,rio,like new,4 cylinders,gas,100000.0,clean,manual,,,,,,fl
7315056070,houston,32291,2016.0,volvo,xc90,,4 cylinders,gas,60000.0,clean,automatic,,4wd,compact,SUV,custom,tx
7309310283,norfolk / hampton roads,3700,1997.0,buick,riviera,excellent,6 cylinders,gas,195410.0,clean,automatic,,fwd,full-size,coupe,white,va
7305864326,stockton,23499,2012.0,infiniti,g 37c,excellent,6 cylinders,gas,63882.0,clean,automatic,JN1CV6FE6CM200594,rwd,compact,convertible,blue,ca
7316261103,orlando,29998,2018.0,audi,a4,,4 cylinders,gas,2993.0,clean,automatic,,fwd,compact,sedan,blue,fl
7316691734,portland,15590,2012.0,toyota,rav4 ev sport utility 4d,good,,gas,59617.0,clean,other,2T3YL4DV9CW001218,,,other,white,or
7315820863,chicago,31990,2017.0,dodge,challenger r/t coupe 2d,good,8 cylinders,gas,25026.0,clean,other,2C3CDZBT0HH605001,rwd,,coupe,yellow,il
7314384262,birmingham,15897,2018.0,chevrolet,malibu,,4 cylinders,gas,65950.0,clean,other,1G1ZB5ST9JF144448,fwd,,sedan,grey,al
7315175100,modesto,5995,2005.0,dodge,caravan,,6 cylinders,gas,120000.0,clean,automatic,,fwd,full-size,mini-van,grey,ca
7306403350,madison,12995,2017.0,dodge,grand caravan,good,6 cylinders,gas,115053.0,clean,automatic,2C4RDGCG9HR599835,fwd,full-size,van,grey,wi
7316150535,north jersey,0,2018.0,mitsubishi,mirage g4,like new,,gas,30000.0,clean,automatic,,fwd,mid-size,sedan,red,nj
7311348415,stockton,34981,2020.0,toyota,sienna,,6 cylinders,gas,36784.0,clean,automatic,5TDYZ3DC5LS054555,fwd,,van,black,ca
7315746670,hawaii,21500,2014.0,nissan,370z,,6 cylinders,gas,56286.0,clean,automatic,JN1AZ4FH5EM621073,rwd,,convertible,white,hi
7316887392,southwest KS,7995,2015.0,dodge,journey se,good,4 cylinders,gas,128000.0,clean,automatic,,fwd,mid-size,SUV,blue,ks
7304260919,corvallis/albany,0,2020.0,nissan,rogue,,4 cylinders,gas,4575.0,clean,automatic,5N1AT2MV7LC705051,4wd,,SUV,,or
7311423013,chillicothe,43995,2017.0,toyota,tundra,excellent,,gas,55458.0,clean,automatic,5TFDW5F13HX587620,4wd,,pickup,,oh
7310425055,yuba-sutter,25988,2019.0,ford,mustang ecoboost - rear camera - bluetooth -,excellent,4 cylinders,gas,,clean,automatic,,rwd,sub-compact,coupe,white,ca
7316415635,fort wayne,65,2012.0,chrysler,town and country,,,gas,165000.0,clean,automatic,,,,,,in
7316445988,minneapolis / st paul,21900,1972.0,chevrolet,c/k 10,excellent,8 cylinders,gas,61355.0,clean,automatic,CC142A12A123766,4wd,full-size,truck,green,mn
7314313047,greenville / upstate,0,2008.0,,Scion xB,,4 cylinders,gas,104512.0,clean,automatic,JTLKE50E981038257,fwd,,wagon,silver,sc
7315047158,columbia,26990,2017.0,ram,1500 regular cab tradesman,good,6 cylinders,gas,31573.0,clean,other,3C6JR6AG3HG768689,,,pickup,white,sc
7312844358,"st louis, MO",28590,2018.0,jeep,grand cherokee laredo sport,good,6 cylinders,gas,22898.0,clean,other,1C4RJFAG2JC333416,4wd,,other,black,il
7316135944,denver,3995,2002.0,,HUNDAI SANTA FE,good,6 cylinders,gas,155812.0,clean,automatic,KM8SC73D42U193638,4wd,compact,SUV,silver,co
7316857019,charlotte,35000,2009.0,volvo,,good,,diesel,619000.0,clean,manual,,,,,white,nc
7316759503,rhode island,3000,2007.0,jeep,liberty,excellent,6 cylinders,gas,146000.0,clean,automatic,,4wd,full-size,SUV,white,ri
7305210915,cincinnati,2000,2003.0,toyota,camry,good,4 cylinders,gas,189000.0,clean,automatic,,fwd,,,,oh
